bookID,title,authors,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
27503,The Liberated Bride,A.B. Yehoshua/Hillel Halkin,en-US,576,457,44,10-04-04,Mariner Books
40880,Jack Vance: Critical Appreciations and a Bibliography,A.E. Cunningham/Harlan Ellison/Charles F. Miller/Terry Dowling/Paul Rhoads/Jack Vance/Tom Shippey/Gene Wolfe/David Langford/Dan Simmons/David Mathew,eng,232,13,2,01-01-00,British Library
28116,The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,A.J. Jacobs,eng,389,24243,2326,10-10-05,Simon  Schuster
29412,The Mistress's Daughter,A.M. Homes,en-US,256,3282,518,04-05-07,Viking
26583,Beauty's Punishment,A.N. Roquelaure/Anne Rice,eng,233,426,30,06-01-84,Plume
18750,Beauty's Punishment (Sleeping Beauty  #2),A.N. Roquelaure/Anne Rice,eng,233,22255,710,05-01-99,Penguin Books
25190,Beauty's Release (Sleeping Beauty  #3),A.N. Roquelaure/Anne Rice,eng,238,23970,570,05-01-99,Penguin Books
26581,Sleeping Beauty Trilogy (Sleeping Beauty  #1-3),A.N. Roquelaure/Anne Rice,eng,724,10891,230,05-01-99,Plume
41219,Possession,A.S. Byatt,eng,555,62580,3465,10-01-91,Vintage
33704,Der Buchhändler aus Kabul: Eine Familiengeschichte,Åsne Seierstad,ger,301,1,0,02-01-03,Claassen Verlag
33699,El librero de Kabul,Åsne Seierstad,spa,285,112,18,11-01-04,Grupo Océano
28416,The Conquest of Plassans (Les Rougon-Macquart  #4),Émile Zola/Ernest Alfred Vizetelly,fre,320,50,9,11-07-05,MONDIAL
7064,The Belly of Paris (Les Rougon-Macquart  #3),Émile Zola/Ernest Alfred Vizetelly/Henry Vizetelly,eng,397,8,1,12-01-95,Sun and Moon Press
28413,The Ladies' Paradise,Émile Zola/Robin Buss/Brian  Nelson,eng,438,5525,342,09-01-08,Oxford University Press
30743,To America with Love: Letters from the Underground,Abbie Hoffman/Anita Hoffman,eng,224,69,3,09-01-00,Red Hen Pr
31050,A Three Dog Life,Abigail Thomas,en-US,182,191,47,09-05-06,Houghton Mifflin Harcourt
25869,Shahnameh: The Persian Book of Kings,Abolqasem Ferdowsi/Dick Davis/Azar Nafisi,eng,886,246,21,03-01-07,Penguin
20547,The Wit and Wisdom of Abraham Lincoln: A Book of Quotations,Abraham Lincoln/Bob Blaisdell,eng,96,461,33,08-08-05,Dover Publications
20549,Speeches and Writings 1832–1858,Abraham Lincoln/Don E. Fehrenbacher,eng,898,1180,21,10-01-89,Library of America
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,eng,32,5239,76,02-02-98,HMH Books for Young Readers
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,eng,336,76,9,05-03-05,William Morrow Paperbacks
7062,Paris to the Moon,Adam Gopnik,eng,368,12356,941,09-11-01,Random House Trade Paperbacks
27668,Bury the Chains,Adam Hochschild,eng,496,1342,178,02-10-06,Mariner Books
27457,King Leopold's Ghost,Adam Hochschild,eng,384,102,20,04-01-06,Mariner Books
31441,Angry Black White Boy,Adam Mansbach,eng,352,614,77,03-08-05,Broadway Books
18486,Frankenstein Makes a Sandwich,Adam Rex,eng,40,1911,276,09-01-06,Harcourt
25698,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,eng,1264,21524,635,03-04-03,Arlington House
25701,The Wealth of Nations,Adam Smith/Robert B. Reich,eng,1184,1165,62,07-12-00,Modern Library
34155,Political Philosophy: A Beginners' Guide for Students and Politicians,Adam Swift,eng,240,175,6,08-04-06,Polity Press
17947,Museo: Textos Ineditos,Adolfo Bioy Casares,spa,261,6,0,10-01-02,Emecé Editores
21284,The Lighthouse Land (Lighthouse Trilogy #1),Adrian McKinty,eng,387,861,114,10-01-06,Harry N. Abrams
1518,The Oresteia,Aeschylus/Alan Shapiro/Peter H. Burian,eng,304,77,7,10-07-04,Oxford University Press  USA
1517,Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,eng,188,389,26,02-01-92,University of Chicago Press
1526,Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,eng,178,12,3,11-01-97,University of Pennsylvania Press
1531,Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,en-GB,232,12,2,01-01-98,University of Pennsylvania Press
37043,Septem Quae Supersunt Tragoediae,Aeschylus/Denys L. Page,grc,352,6,0,01-11-73,Clarendon Press
1527,The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,eng,358,74,7,08-01-92,University of Chicago Press
1519,The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,eng,335,28726,591,02-07-84,Penguin Classics
1525,The Oresteia,Aeschylus/Ted Hughes,en-US,208,215,25,09-04-04,Farrar  Straus and Giroux
20781,Aesop's Fables,Aesop/Ann McGovern,eng,80,108,10,11-01-63,Scholastic Paperbacks
21348,Aesop's Fables,Aesop/Laura Harris/Laura Gibbs,eng,306,97136,947,04-10-03,Oxford University Press
31318,4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas),Agatha Christie,eng,3,34,3,05-04-99,Random House Audio
31300,A Caribbean Mystery (Miss Marple  #10),Agatha Christie,eng,224,18590,770,03-01-00,Signet
16340,After the Funeral,Agatha Christie,eng,251,47,4,07-02-01,HarperCollins
16299,And Then There Were None,Agatha Christie,eng,264,625767,18785,05-03-04,St. Martin's Press
31303,At Bertram's Hotel,Agatha Christie,eng,224,239,15,03-01-00,Signet
16297,Cards on the Table (Hercule Poirot  #15),Agatha Christie,eng,324,25236,1046,07-05-05,Berkley
16342,Cat Among the Pigeons (Hercule Poirot  #34),Agatha Christie,eng,352,21230,735,07-05-05,Berkley
16427,Dead Man's Folly (Hercule Poirot  #33),Agatha Christie,eng,288,619,75,07-01-08,HarperCollins Publishers
16305,Evil Under the Sun (Hercule Poirot  #24),Agatha Christie,eng,220,36334,975,09-01-06,Black Dog & Leventhal Publishers
31302,Five Complete Miss Marple Novels: The Mirror Crack'd / A Caribbean Mystery / Nemesis / What Mrs. McGillicuddy Saw! / The Body in the Library,Agatha Christie,eng,650,116,6,07-02-90,Avenel Books
16307,Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,eng,336,20656,1246,09-03-01,Harper
16428,Hercule Poirot's Casebook (Hercule Poirot  #42),Agatha Christie,eng,861,1865,52,12-01-98,G.P. Putnam's Sons
16349,Hercule Poirot's Christmas (Hercule Poirot  #20),Agatha Christie,eng,335,26085,1497,09-01-01,HarperCollins Publishers
31307,Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel),Agatha Christie,eng,688,138,5,07-10-97,Harper Collins
16371,Mrs. McGinty's Dead (Hercule Poirot  #30),Agatha Christie,eng,328,572,74,07-01-02,HarperCollins Publishers
16331,Murder at the Vicarage (Miss Marple  #1),Agatha Christie,eng,288,121099,2237,09-01-06,Black Dog & Leventhal Publishers
31306,Murder at the Vicarage (Miss Marple  #1),Agatha Christie,eng,256,462,55,09-01-00,Signet
16364,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,eng,266,1520,238,09-01-06,Black Dog & Leventhal Publishers
31304,Nemesis (Miss Marple  #12),Agatha Christie,eng,224,18896,771,05-01-00,Signet
16325,Partners in Crime (Tommy and Tuppence #2),Agatha Christie,eng,347,10106,520,01-01-01,HarperCollins Publishers
16464,Poirot: The Complete Ariadne Oliver  Vol. 2,Agatha Christie,en-US,727,85,4,06-01-05,HarperCollins Publishers
16300,Sleeping Murder (Miss Marple  #13),Agatha Christie,eng,242,19657,884,08-04-03,Dodd Mead; 1st edition (September 1976)
16322,The A.B.C. Murders (Hercule Poirot  #13),Agatha Christie,eng,252,69806,2470,09-01-06,Black Dog & Leventhal Publishers
16319,The Body in the Library (Miss Marple  #3),Agatha Christie,eng,191,46454,1675,09-01-06,Black Dog & Leventhal Publishers
16328,The Murder of Roger Ackroyd (Hercule Poirot  #4),Agatha Christie,eng,288,103149,5659,09-01-06,Black Dog & Leventhal Publishers
16336,The Unexpected Guest: A Play In Two Acts,Agatha Christie,eng,100,2813,167,11-12-10,Samuel French Ltd
16320,Witness for the Prosecution and Selected Plays,Agatha Christie,eng,352,3967,67,10-07-95,HarperCollins Publishers Ltd
16329,Dead Man's Folly (Hercule Poirot  #33),Agatha Christie/David Suchet,eng,6,12256,393,09-08-06,BBC Audiobooks
31299,Hickory Dickory Dock (Hercule Poirot  #32),Agatha Christie/Hugh Fraser,eng,196,13515,368,12-07-06,AudioGO
16334,The Listerdale Mystery And Eleven Other Stories,Agatha Christie/Hugh Fraser,eng,0,1824,89,01-11-06,AudioGO
31305,A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie/Michael Bakewell/June Whitfield/Nicky Henson/Derek Waring/Natasha Pyne,eng,2,38,3,04-01-14,Blackstone Audiobooks
16357,Hercule Poirot's Christmas: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie/Michael Bakewell/Peter Sallis/Cyril Luckham/Edward De Souza/Rachel Gurney/Nicky Henson/Deryck Guyler,eng,2,52,8,11-05-01,BBC Audiobooks
16301,Agatha Christie: An Autobiography,Agatha Christie/Robert Welch Herrick,eng,560,4296,310,01-02-01,HarperCollins
