Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Salary_USD
,Data Scientist,Mid,FT,DE,L,0,76227
,Machine Learning Scientist,Senior,FT,JP,S,0,248257
,Big Data Engineer,Senior,FT,GB,M,50,104100
,Product Data Analyst,Mid,FT,HN,S,0,19097
,Machine Learning Engineer,Senior,FT,US,L,50,143225
,Data Analyst,Entry,FT,US,L,100,68748
,Lead Data Scientist,Senior,FT,US,S,100,181418
,,Mid,FT,HU,L,50,34121
,,Mid,FT,US,L,100,128903
,,Senior,FT,NZ,S,50,119354
,,Entry,FT,FR,S,0,49003
,,Mid,FT,IN,L,0,38653
2020,,Entry,FT,FR,M,0,38113
2020,,Mid,FT,US,L,100,83071
2020,,Mid,FT,US,L,100,81161
2020,,Mid,FT,PK,L,50,7639
2020,,Entry,FT,JP,S,100,39806
2020,,,FT,PL,S,100,108896
2020,,,FT,IN,M,50,5449
2020,,,FT,PT,M,100,53471
2020,,,FT,CN,M,0,41374
2020,,,FT,IN,L,100,5798
2020,,,FT,GR,L,50,45736
2020,,,FT,US,M,0,93574
2020,,,FT,AE,L,0,109806
2020,,,FT,US,L,100,310321
2020,,,FT,NL,L,50,40103
2020,,,FT,MX,S,0,31997
2020,,,CT,US,L,100,95483
2020,,,FT,CA,L,50,111815
2020,,,FT,DE,S,100,56625
2020,,,FT,US,L,100,66838
2020,,,FT,GR,L,100,65337
2020,,,FT,US,M,0,429675
2020,Data Analyst,,FT,FR,L,50,44647
2020,Data Engineer,,FT,AT,L,50,70782
2020,Data Science Consultant,,FT,US,L,100,98348
2020,Machine Learning Engineer,,FT,US,L,50,238708
2020,Data Analyst,,FT,NG,S,100,9548
2020,Machine Learning Engineer,,FT,US,S,100,131767
2020,Data Scientist,,FT,PH,S,100,43693
2020,Data Engineering Manager,,FT,ES,L,50,76227
2020,Machine Learning Infrastructure Engineer,,FT,PT,M,0,47914
2020,Data Engineer,,FT,US,L,100,101212
2020,Data Engineer,,FT,GB,L,50,107774
2020,ML Engineer,,PT,DE,S,100,15245
2020,Data Scientist,,FT,GB,S,100,73482
2020,Data Engineer,,FT,US,L,100,179509
2020,Data Scientist,,,US,L,100,100258
2020,Data Engineer,,,FR,L,50,66971
2020,Data Analyst,Entry,,IN,S,0,5798
2020,Data Analyst,Entry,,US,L,100,86890
2020,AI Scientist,Entry,,DK,S,50,43823
2020,Data Engineer,Entry,,PK,L,100,52270
2020,Computer Vision Engineer,Senior,,RU,S,100,57290
2020,Principal Data Scientist,Senior,,DE,M,100,141565
2020,Data Scientist,Mid,,ES,M,100,37025
2020,Data Scientist,Mid,,US,M,100,112670
2020,Data Scientist,Senior,,US,L,50,114580
2020,Data Scientist,Mid,,US,M,100,132101
2020,Data Engineer,Mid,,US,,100,105032
2020,Data Engineer,Mid,,ES,,100,124892
2020,Data Scientist,Entry,,IT,,50,20690
2020,Data Scientist,Senior,,US,,100,393392
2020,Machine Learning Engineer,Senior,,HR,,100,43558
2020,Data Scientist,Entry,,DE,,50,59893
2020,Data Scientist,Entry,,DE,,0,47043
2020,Data Science Manager,Senior,,US,,100,181609
2020,Data Scientist,Entry,,US,,100,100258
2020,Data Scientist,Senior,,AT,,0,87116
2020,Data Scientist,Mid,,FR,,50,59893
2020,Data Scientist,Mid,,FR,,50,40291
2021,Research Scientist,Entry,,GB,,50,78801
2021,BI Data Analyst,Executive,,IN,,100,143225
2021,Head of Data,Executive,,,,100,224386
2021,Data Scientist,Senior,,,,50,50790
2021,BI Data Analyst,Mid,,,,100,95483
2021,3D Computer Vision Researcher,Mid,,,,50,5165
2021,ML Engineer,Mid,,,,100,257805
2021,Data Analyst,Entry,FT,,,100,76387
2021,Data Analytics Engineer,Senior,FT,,,100,75620
2021,Data Engineer,Mid,FT,,,100,133677
2021,Applied Data Scientist,Mid,FT,,,50,51788
2021,Machine Learning Engineer,Mid,FT,,,100,45146
2021,Director of Data Science,Executive,FT,,,100,146726
2021,Data Engineer,Mid,FT,,,100,27190
2021,Data Analyst,Entry,FT,,,50,56433
2021,Data Analytics Engineer,Mid,FT,,,100,105032
2021,Lead Data Analyst,Senior,FT,,,100,162322
2021,Data Analyst,Senior,FT,,,100,76387
2021,Marketing Data Analyst,Senior,FT,,,100,84650
2021,Data Science Consultant,Entry,FT,,,100,73363
2021,Lead Data Analyst,Mid,FT,,,100,18723
2021,Lead Data Engineer,Senior,FT,,,0,263534
2021,Data Scientist,Entry,FT,,,50,28407
2021,Cloud Data Engineer,Mid,FT,,,,85261
2021,AI Scientist,Entry,PT,,,,11458
2021,Financial Data Analyst,Mid,FT,,,,429675
2021,Computer Vision Software Engineer,Entry,FT,,,,66838
2021,Computer Vision Software Engineer,Mid,FT,,,,91422
2021,Data Analyst,Mid,FT,,L,,71613
2021,Data Engineer,Senior,FT,,L,,143225
2021,BI Data Analyst,Mid,FT,HU,L,,34621
2021,Data Analyst,Mid,FT,US,L,,59200
2021,Data Scientist,Mid,FT,US,L,,69703
2021,Data Analyst,Mid,FT,GB,L,,49192
2021,Research Scientist,Mid,FT,CA,L,,178976
2021,Data Engineer,Senior,FT,US,S,,109806
2021,Data Engineer,Senior,FT,US,M,,143225
2021,Data Engineer,Entry,FT,IN,L,,29054
2021,Machine Learning Engineer,Senior,FT,DE,L,,90293
